성동구,서울숲 바닥분수,4.0,https://lh5.googleusercontent.com/p/AF1QipMCNqrTJ4TxJu4BDu2rlla98K0VJgmPFQYkOYPK=w408-h306-k-no,서울특별시 성수동1가 언더스탠드애비뉴, 별표 5개 ,참 이뻐요~
성동구,한화 꿈의스테이지,5.0,https://lh5.googleusercontent.com/p/AF1QipOrRN5HfeaXj2m21IusB7Av5fGCt90Ci9iyl77P=w408-h306-k-no,서울특별시 성동구 성수동1가 685-37, 별표 5개 ,관광하기 딱 좋은 꽃들도 예쁘고
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,응봉현대아파트 쪽 뚜레주르에서 버스타고 내려 올라오시는 길이 가장 빠른 루트인 것 같습니다. 정말 얼마 올라가지 않아 도착할 수 있는데 얻어지는 뷰는 이루 말할 수 없을 정도로 좋습니다. 공짜로 보는게 아까울 정도! 데이트 코스로도 좋고 산책하기에도 좋습니다.…
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,"역쉬 듣던대로 야경이 이쁘네여...걸어올라가기도 쉽고, 공원도 깔끔하게 조성되어 있고요"
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,"응봉역, 응봉역공영주차장에서 도보로 15분 정도면 응봉산 정상에 도착합니다. 한강과 어우러진 조망이 좋아 아경을 찾는 이들이 많습니다. 망우산, 아차산,용마산 동쪽 전망과, 잠실 롯데월드타워, 서울숲 인근 갤러리아포레, 아크로 서울 포레스트, 트리마제 등 최근 지어진 고층건물들도 보입니다.…"
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,야경 너무 좋습니다전에는 차 가지고 올라갈 수 있었는데 지금은 밑에 대고 가야합니다 참고하세요
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,짧고 굵은 오르막길!올라가면서 중간중간 쉬면서 사진찍기좋은 스팟이 많아용😆 올라가니 시원~~~했습니다!
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,응봉산은 옥수역에서 걸어오셔도 되고 경의중앙선 응봉역에서 내려서 1번 출구로 나가신 후 응봉역을 등지고 왼쪽으로 계속 걸어가시면 응봉산 가는곳 표시가 나와요꼭 표시가 아니라도 응봉산이 보이니까 방향잡고 가셔도 되구요.…
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 4개 ,응봉산 팔각정!서울 야경을 보기에 너무 좋았어요주차장이 밑에 있어 조금불편합니다!근처까지 가서 주차하실때 주차위반딱지 끊으니 조심하세요
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,폭염 중에도 정상은 시원했고한강을 낀 야경은 👍👍👍가급적이면 차량이용시 공용주차장 이용하세요좁은 길목에서 길 막혀서 오도가도 못하실수있음
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,응봉역 공영주차장에차 세우고 13분인가 걸어올라가면서울의 멋진뷰를 감상할 수 있는곳.…
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,서울 3대 야경으로도 유명한 응봉산 팔각정...날씨 좋은 낮에도 뷰가 아주 멋집니다 운동 삼아 가기 좋은곳 입니다.
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 1개 ,6월까지 홍수대비 도로 공사를해 길을 막었는데 공지가 없어 전쟁터다 완전 …  차량들이 오도가도 못함뷰는 뭐 좋음
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,가장 가기 쉽고 높이에 비해서 멋진전망을 볼수있습니다
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,서울에서 흔히 가볼수 있는 look out중 하나입니다.남산전망대보다는 훨씬 가까이서 서울을 바라볼수 있고 잠실전망대처럼 유리밖으로 보는게 아니라 시원하고 팍트인 전경때문에 너무 만족하실거예요.올라가는길은 10가지도 넘고…
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,늘  멋진뷰를  볼수있고 운동도 되고 최고예요
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,작은 산이지만 올라가는 둘레길이 잘되어있어 무리하지 않고 간단하게 등산겸 운동하기 좋은 공원입니다^^ 봄에는 개나리가 활짝 피어있으니까 이른 아침이나 오후에 붐비는 시간 피해서 가보셔도 좋을듯 합니다🌼
성동구,응봉산 팔각정,4.6,https://lh5.googleusercontent.com/p/AF1QipO-IC4XFE1UiWKwAGPXE3GZ9EIg6IOWts3fOpD7=w408-h306-k-no,서울특별시 성동구 응봉동 267-1, 별표 5개 ,야경이 아름다운 곳! 부담없이 오르기 너무 좋네요. 응봉역 1번출구 나와서 안내된대로 오르면 15분채 안 걸려서 팔각정에 도달합니다.
